url,title,displayedUrl,description,emphasizedKeywords,siteLinks,productInfo,likes,lastUpdated,channelName,type,position,reelLength,followersAmount,tweetCards,date,views,personalInfo,source_file
https://www.instagram.com/p/DQB90jLEkdi/,Nomor WhatsApp milik Wakil Bupati (Wabup) Lombok ...,Instagram › hailotim,"Ketua DPP Partai Gerindra, Prasetyo Hadi, menilai perlunya perubahan sistem pilkada karena mahalnya ongkos politik. Menurutnya, proses ...",['perubahan sistem pilkada'],[],{},950+ suka,2 bulan yang lalu,p,organic,86,,,,,,,instagram_search2.json
https://www.instagram.com/reel/DTMmwtNEu32/,"“Dari 2024 menuju 2029, ada apa dengan pemilu?” Dari ...",Instagram › rumahpemilu,"Revisi UU Pilkada perlu diarahkan pada penguatan penegakan hukum terhadap politik uang melalui criminal justice system yang tegas, dengan ...",[],[],{},20+ suka,1 hari yang lalu,reel,organic,1,2:16,,,,,,instagram_search2.json
https://www.instagram.com/p/DTPNSoAEzJG/,Wacana pengembalian mekanisme Pilkada ke DPRD terus ...,Instagram › tabanan_update,"Revisi UU Pilkada perlu diarahkan pada penguatan penegakan hukum terhadap politik uang melalui criminal justice system yang tegas, dengan ...",['Revisi UU Pilkada'],[],{},10+ suka,13 jam yang lalu,p,organic,2,,,,,,,instagram_search2.json
https://www.instagram.com/reel/C-7g176SJ8Z/,Baleg DPR bersama pemerintah dengan kilat membahas revisi ...,https://www.instagram.com › reel,Baleg DPR bersama pemerintah dengan kilat membahas revisi UU Pilkada pada Rabu (21/8). Pembahasan RUU Pilkada yang mendadak ini tidak memakan waktu lama.,['revisi UU Pilkada'],[],{},,,reel,organic,3,,,,,,,instagram_search2.json
https://www.instagram.com/reel/DNxy6kvWLjd/,Revisi paling urgen dilakukan saat ini adalah UU Pemilu ...,Instagram › ahmadolikurnia,"Revisi UU Pilkada perlu diarahkan pada penguatan penegakan hukum terhadap politik uang melalui criminal justice system yang tegas, dengan ...",[],[],{},200+ suka,4 bulan yang lalu,reel,organic,4,1:21,,,,,,instagram_search2.json
https://www.instagram.com/p/DR8dfmOkhoM/,Koalisi Kodifikasi Undang-Undang Pemilu dengan tegas ...,Instagram › perludem,"Revisi UU Pilkada perlu diarahkan pada penguatan penegakan hukum terhadap politik uang melalui criminal justice system yang tegas, dengan ...",['Revisi UU Pilkada'],[],{},640+ suka,1 bulan yang lalu,p,organic,5,,,,,,,instagram_search2.json
https://www.instagram.com/p/C--HILwyYS2/,Wakil Ketua DPR mengumumkan bahwa ...,Instagram › kumparancom,"81K likes, 7786 comments - kumparancom on August 22, 2024: ""Wakil Ketua DPR mengumumkan bahwa pengesahan revisi UU Pilkada ...",['revisi UU Pilkada'],[],{},"81,5 rb+ suka",1 tahun yang lalu,p,organic,6,,,,,,,instagram_search2.json
https://www.instagram.com/p/DLhRnBGRgVh/,"DPR RI | SobatParlemen, Mahkamah Konstitusi telah ...",Instagram › dpr_ri,"Revisi UU Pilkada perlu diarahkan pada penguatan penegakan hukum terhadap politik uang melalui criminal justice system yang tegas, dengan ...",['Revisi UU Pilkada'],[],{},"1,1 rb+ suka",6 bulan yang lalu,p,organic,7,,,,,,,instagram_search2.json
https://www.instagram.com/reel/DP6Gul2E1W1/,"Mendesak Revisi UU Pemilu, Bukan Karena Nggak Sabar ...",Instagram › rumahpemilu,Кл DPR Batalkan Revisi UU Pilkada LELLADLM INDONESIA IS NOT F BTL 3 SALE Partai . ININSIA NINVGAMAJU MAJU KOMPASTV PRATIKNO BPMI BPMISetpres ...,[],[],{},50+ suka,2 bulan yang lalu,reel,organic,8,3:27,,,,,,instagram_search2.json
https://www.instagram.com/reel/C-7jvpiSP5s/,PDI Perjuangan (PDI-P) tidak sepakat RUU Pilkada disahkan ...,Instagram › narasinewsroom,"... revisi UU Pilkada dalam rapat kerja Baleg DPR RI di Kompleks Parlemen, Jakarta Pusat, Rabu (21/8/2024). PDI-P menilai, pembahasan RUU Pilkada melenceng dari ...",[],[],{},,17 Nov 2025,reel,organic,9,,,,,,,instagram_search2.json
https://www.instagram.com/p/DSrN0X5D--h/,Demokrat Tegas Tolak Pilkada Lewat DPRD,Instagram › koranbaliexpress,"... perubahan sistem Pilkada. Menurut pemerintah, mekanisme pemilihan melalui DPRD dinilai lebih efisien dan memungkinkan proses politik ...",['perubahan sistem Pilkada'],[],{},2 suka,2 minggu yang lalu,p,organic,88,,,,,,,instagram_search2.json
https://www.instagram.com/naramakna.id/p/DR_yfVDk-Xl/?hl=bn,Wacana Pilkada lewat DPRD muncul lagi… dan kali ini ...,Instagram › naramakna.id,Wacana perubahan sistem Pilkada kembali mencuat! Menteri Bahlil menyampaikan usulan agar kepala daerah tidak lagi dipilih langsung oleh ...,['perubahan sistem Pilkada'],[],{},10+ suka,1 bulan yang lalu,naramakna.id,organic,89,,,,,,,instagram_search2.json
https://www.instagram.com/p/DS31OUcEs13/,Wakil Sekretaris Jenderal Partai Demokrat Syahrial ...,Instagram › jkt.visit,"... perubahan sistem pilkada sebagai langkah yang tidak tepat waktu. Di tengah penderitaan rakyat, perdebatan soal mekanisme kekuasaan dianggap ...",['perubahan sistem pilkada'],[],{},20+ suka,1 minggu yang lalu,p,organic,90,,,,,,,instagram_search2.json
https://www.instagram.com/p/DS32woujmq4/,Partai Gerindra menyatakan dukungannya ...,Instagram › ardhiardhaz,... perubahan sistem pilkada perlu dibahas secara matang dan melibatkan berbagai pihak agar tidak menimbulkan polemik di tengah masyarakat serta ...,['perubahan sistem pilkada'],[],{},,,p,organic,91,,1 minggu yang lalu,,,,,instagram_search2.json
https://www.instagram.com/p/DSe-Kf6gbBu/,Ketua Umum PKB Muhaimin Iskandar (Cak Imin) ...,Instagram › hype.moment,"Ketua Umum PKB Muhaimin Iskandar (Cak Imin) mengusulkan perubahan sistem Pilkada. Ia mengusulkan gubernur ditunjuk Presiden, ...",['perubahan sistem Pilkada'],[],{},30+ suka,2 minggu yang lalu,p,organic,92,,,,,,,instagram_search2.json
https://www.instagram.com/tanahbumbuinfo/p/DR_XMLQkp-1/?hl=ml,Wacana perubahan mekanisme Pilkada kembali memicu ...,Instagram › tanahbumbuinfo,"... perubahan sistem Pilkada. Menurut pemerintah, mekanisme pemilihan melalui DPRD dinilai lebih efisien dan memungkinkan proses politik ...",['perubahan sistem Pilkada'],[],{},470+ suka,1 bulan yang lalu,tanahbumbuinfo,organic,93,,,,,,,instagram_search2.json
https://www.instagram.com/p/DTAO9Fhkaoo/,Pernyataan sikap!!! Jaringan Rakyat untuk Demokrasi dan ...,Instagram › demokrasidanpemilu_jrdp,... Perubahan sistem Pilkada yang memindahkan wewenang memilih kepala daerah dari rakyat kepada DPRD dapat menggeser peran serta publik dalam ...,['Perubahan sistem Pilkada'],[],{},9 suka,6 hari yang lalu,p,organic,94,,,,,,,instagram_search2.json
https://www.instagram.com/p/DSdnxaJEh5M/,...,Instagram › dennycharter,"... perubahan sistem pilkada yang justru bisa mengabaikan kedaulatan rakyat. Baca selengkapnya dalam ""Kepala Daerah Dipilih DPRD Berpotensi Buka ...",['perubahan sistem pilkada'],[],{},,,p,organic,95,,2 minggu yang lalu,,,,,instagram_search2.json
