platform,total_posts,negative_count,positive_count,neutral_count,negative_pct,avg_engagement
facebook,2056,1195,264,597,58.12256809338522,14.478599221789883
instagram,923,487,183,253,52.76273022751896,63.21018418201517
tiktok,26101,10813,5951,9337,41.4275315122026,94.87096279836021
x,176,99,17,60,56.25,3.272727272727273
youtube,112,6,0,106,5.357142857142857,0.0
threads,232,125,16,91,53.879310344827594,35.57327586206897
online,248,1,4,243,0.4032258064516129,0.0
