keyword_category,count,percentage
Aksi Protes,1480,4.958456177968373
Desakan,1180,3.95336370946127
Penolakan,761,2.549584561779684
Kekhawatiran,216,0.7236665773251139
Kritik Keras,157,0.5259983918520503
Gerakan Massal,94,0.31492897346555887
Anti-Demokrasi,79,0.26467435004020373
Kemarahan,77,0.2579737335834897
Ancaman,28,0.09380863039399624
Gangguan Keamanan,19,0.06365585633878316
