tweet_id,text,author,author_name,created_at,likes,replies,retweets,verified,followers,lang,in_reply_to_tweet_id
1.8645330912447767e+18,Setuju mending pemilu ulang masa ada kejanggalan yang menang kubu 02 🤔🤔🤔 ?,AdityaNadevka2,Aditya Nadevka,Thu Dec 05 04:51:44 +0000 2024,0,0,0,False,104,,
1.863587720792322e+18,"Prof, rasanya dari hasil Pemilihan Langsung ini scr umum kualitas pemimpin kurang begitu menggembirakan, mlh cenderung pemborosan uang negara. Mending kembali spt dulu, Bupati/Wlkota/Gubernur dipilih DPRD, Presiden oleh DPR RI. Sptnya saat ini yg berduitlah yg bisa jadi Pemimpin.",gus_shs,/P,Mon Dec 02 14:15:11 +0000 2024,0,0,0,False,138,,
1.862476348947932e+18,"Saya setuju dgn pemilihan gubernur dilakukan oleh dprd bukan krn biayanya Mahal, tapi Karena rakyat belum siapa utk memilih.",DanilGabril,Danil Gabril,Fri Nov 29 12:38:59 +0000 2024,0,0,0,False,57,,
1.8382256645852204e+18,"Naskah Deklarasi Kampanye Damai dibacakan oleh Ketua KPU Kalbar Muhammad Syarifuddin Budi dan diikuti oleh seluruh peserta yang hadir, kegiatan kemudian dilanjutkan dengan penandatanganan Naskah Deklarasi Kampanye Damai oleh...",kpukalbarprov,KPU Provinsi Kalbar,Mon Sep 23 14:35:25 +0000 2024,0,1,0,False,1481,,
1.8382256685904773e+18,"Pasangan Calon peserta Pemilihan Gubernur dan Wakil Gubernur Kalimantan Barat, Ketua dan Sekretaris Tim Pelaksana Kampanye, dan disaksikan oleh Pj. Gubernur Kalbar, Ketua DPRD Kalbar...",kpukalbarprov,KPU Provinsi Kalbar,Mon Sep 23 14:35:26 +0000 2024,0,1,0,False,1481,,
1.8382258128663388e+18,"Kapolda Kalbar, Kepala Kejaksaan Tinggi Kalbar, Pangdam XII Tanjungpura, Ketua KPU Kalbar, dan Ketua Bawaslu Kalbar. KPUMelayani PilkadaSerentak2024 BersamaTentukanMasaDepanKalbar",kpukalbarprov,KPU Provinsi Kalbar,Mon Sep 23 14:36:01 +0000 2024,0,0,0,False,1481,,
1.836786705904628e+18,Sementara itu kepala daerah nya dipilih pemerintah pusat 🤣🤣🤣🤣🤣,AgusSiswanto789,Agus,Thu Sep 19 15:17:31 +0000 2024,8,4,1,False,39,,
1.8373501690812257e+18,"Gw engga mau komentarin banyak2 dulu soal politik karena gamau dicap mihak salah satu kubu, tapi buset deh orang macam mas Agus ini baca tulisan yang discreenshot sendiri aja engga becus. Tolong lahhh",yogasuud,Kumon,Sat Sep 21 04:36:31 +0000 2024,1,1,0,False,361,,
1.8373522689387604e+18,Gak becusnya dimana ? Karena pilkada serentak banyak jadwal pilkada yg di undur sehingga ada kekosongan jabatan kepala daerah yg sekarang menjabat di isi oleh PJ yg di tunjuk pemerintah pusat. Itukan ss ada data kepala daerah (PJ) yg sekarang menjabat,AgusSiswanto789,Agus,Sat Sep 21 04:44:51 +0000 2024,1,1,0,False,39,,
1.837356658294674e+18,"Pertama, Pilkada serentak sudah dijelaskan di ss yang mas posting tujuannya untuk lebih mengsinkronisasikan program pemerintah pusat dan daerah. Maksudnya agar tidak ada tumpang tindih, dan alur komunikasi dan koordinasi lebih baik antar level.",yogasuud,Kumon,Sat Sep 21 05:02:18 +0000 2024,2,2,0,False,361,,
