url,title,displayedUrl,description,emphasizedKeywords,siteLinks,productInfo,likes,lastUpdated,channelName,type,position,reelLength,followersAmount,tweetCards,date,views,personalInfo,source_file,reactions
https://www.threads.com/@moodpagiku/post/DTGFh31gRop/pileg-yg-nantinya-akan-milih-kepala-daerah,Pileg yg nantinya akan milih kepala daerah...,https://www.threads.com › @moodpagiku,"4 hari yang lalu — Kabar buruk untuk kalian yang nolak Pilkada DPRD ala Orba. Suka gak suka, siap gak siap, revisi UU Pilkada pasti akan terjadi. Udah ada empat ...",['Pilkada DPRD'],[],{},,,,organic,93,,,,,,,thread 3.json,
https://www.threads.com/@luthfihasanalbolqiaah/post/DTIQtllkon_,tahunbaru #prabowo #jokowi #aceh #tamiang ...,https://www.threads.com › @luthfihasanalbolqiaah,"3 hari yang lalu — ... pusing-pusing. Saya yakin ini perlu kajian mendalam,"" katanya (5/12/2025).#Pilkada #DPRD #ariefrosyid #Bahlil #Golkar #masihdikampus. 1.",['Pilkada #DPRD'],[],{},,,,organic,95,,,,,,,thread 3.json,
https://www.threads.com/@joglosemarnews/post/DS1kd7cjY_k/harga-emas-antam-ambles-rp-usai-cetak-rekor-tertinggi-cek-rincian-lengkap-gram,Harga Emas Antam Ambles Rp9.000 Usai Cetak Rekor ...,https://www.threads.com › @joglosemarnews,"28 Des 2025 — joglosemarnews.com/2025… ... Dasco, Zulhas, dan Cak Imin Sambangi Rumah Bahlil di Tengah Isu Pilkada DPRD, Ada Apa?JAKARTA, JOGLOSEMARNEWS.COM — ...",['Pilkada DPRD'],[],{},,,,organic,96,,,,,,,thread 3.json,
https://www.threads.com/@joglosemarnews/post/DS1pX--jTeR/mahasiswa-arsitektur-uns-dorong-penguatan-desa-rotan-trangsan-lewat-jalin,Mahasiswa Arsitektur UNS Dorong Penguatan Desa Rotan ...,https://www.threads.com › @joglosemarnews,"28 Des 2025 — joglosemarnews.com/2025… ... Dasco, Zulhas, dan Cak Imin Sambangi Rumah Bahlil di Tengah Isu Pilkada DPRD, Ada Apa?JAKARTA, JOGLOSEMARNEWS.COM — ...",['Pilkada DPRD'],[],{},,,,organic,97,,,,,,,thread 3.json,
https://www.threads.com/@murianewscom/post/DSo8BhJEWAy/video-supriyono-alias-botok-memberikan-pesan-kepada-masyarakat-usai-sidang-perdananya,Supriyono alias Botok memberikan pesan kepada ...,https://www.threads.com › @murianewscom,24 Des 2025 — #murianews #pilkada #dprd #demokrasi #pilkadalewatdprd. May be an image of poster and text that says 'MURIANEWS PILKADA LEWAT DPRD LANGKAH.,['pilkada #dprd'],[],{},,,,organic,98,,,,,,,thread 3.json,
https://www.threads.com/@rendy_steve77/post/DS-QVtTieJZ/video-selamat-tahun-baru-banyak-berkat-dan-sukacita-selalu-buat-kita-semua-di-tahun,"Selamat Tahun Baru , banyak berkat dan sukacita selalu ...",https://www.threads.com › @rendy_steve77,7 hari yang lalu — ... pelembagaan demokrasi……… #pilkada langsung vs pilkada dprd. OCR . helping new Jean 2026 . Umboh Rorimpandey Family . Umbah Rorimpandey Family. 3.,['pilkada dprd'],[],{},,,,organic,99,,,,,,,thread 3.json,
https://www.threads.com/@sindonews/post/DS3_WhYgHKG/video-sherly-annavita-dan-dj-donny-membagikan-bukti-serangkaian-teror-fisik-dan,Sherly Annavita dan DJ Donny membagikan bukti ...,https://www.threads.com › @sindonews,29 Des 2025 — ... Pilkada #DPRD #Konstitusi. May be an image of poster and text that says 'SindoNews KOMISI KOMISI MISI ٤. May be an image of sports equipment ...,['Pilkada #DPRD'],[],{},,,,organic,102,,,,,,,thread 3.json,
https://www.threads.com/@kompascom/post/DOYJMo6CAPU/seleksi-duta-muda-bpjs-kesehatan-2025-siswa-sma-bisa-daftar-httpdlvrittmymsr,"Seleksi Duta Muda BPJS Kesehatan 2025, Siswa SMA ...",https://www.threads.com › @kompascom,Baca selengkapnya: nasional.kompas.com/read…_RKD #wacana #pilkada #DPRD. May be an image of text that says 'KOMPAS.com UN Pilkada Lewat DPRD. 1.,['pilkada #DPRD'],[],{},,,,organic,104,,,,2025-09-09T12:00:00.000Z,,,thread 3.json,
https://www.threads.com/@disinisadat/post/DM5Wiawxlom/dan-ratusan-ribu-org-yg-kerja-di-pabrik2-di-sunter-cikarang-karawang-molis-cina-,Dan ratusan ribu org yg kerja di pabrik2 di Sunter ...,https://www.threads.com › @disinisadat,"3 Agu 2025 — January 1, 2026 at 6:18 PM. Kabar buruk untuk kalian yang nolak Pilkada DPRD ala OrbaSuka gak suka, siap gak siap, revisi UU Pilkada pasti ...",['Pilkada DPRD'],[],{},,,,organic,105,,,,,,,thread 3.json,
https://www.threads.com/@paltiwest/post/DO-0m3WkrI7/ngerikondisi-terkini-posko-klb-keracunan-mbg,kondisi terkini posko klb keracunan mbg❗️,https://www.threads.com › @paltiwest,"Pilkada DPRD Ternyata Punya Modus Akhir Presiden Dipilih MPR, Kedaulatan Rakyat Akan Dirampas Oleh Kedaulatan Elit..Benar-benar gawat ini ...",['Pilkada DPRD'],[],{},,,,organic,106,,,,2025-09-24T12:00:00.000Z,,,thread 3.json,
